Date,Aysen,Cisnes,Palena,Puelo,Yelcho
1980-01-01,,,,553.0,
1980-01-02,,,,532.0,
1980-01-03,,,,524.0,
1980-01-04,,,,521.0,
1980-01-05,,,,498.0,
1980-01-06,,,,475.0,
1980-01-07,,,,457.0,
1980-01-08,,,,449.0,
1980-01-09,,,,444.0,
1980-01-10,,,,451.0,
1980-01-11,,,,440.0,
1980-01-12,,,,453.0,
1980-01-13,,,,453.0,
1980-01-14,,,,546.0,
1980-01-15,,,,547.0,
1980-01-16,,,,545.0,
1980-01-17,,,,607.0,
1980-01-18,,,,557.0,
1980-01-19,,,,504.0,
1980-01-20,,,,469.0,
1980-01-21,,,,451.0,
1980-01-22,,,,450.0,
1980-01-23,,,,483.0,
1980-01-24,,,,474.0,
1980-01-25,,,,427.0,
1980-01-26,,,,386.0,
1980-01-27,,,,474.0,
1980-01-28,,,,445.0,
1980-01-29,,,,393.0,
1980-01-30,,,,378.0,
1980-01-31,,,,397.0,
1980-02-01,,,,378.0,
1980-02-02,,,,355.0,
1980-02-03,,,,341.0,
1980-02-04,,,,328.0,
1980-02-05,,,,319.0,
1980-02-06,,,,340.0,
1980-02-07,,,,466.0,
1980-02-08,,,,601.0,
1980-02-09,,,,1161.0,
1980-02-10,,,,997.0,
1980-02-11,,,,842.0,
1980-02-12,,,,1565.0,
1980-02-13,,,,1296.0,
1980-02-14,,,,920.0,
1980-02-15,,,,806.0,
1980-02-16,,,,831.0,
1980-02-17,,,,700.0,
1980-02-18,,,,628.0,
1980-02-19,,,,577.0,
1980-02-20,,,,543.0,
1980-02-21,,,,506.0,
1980-02-22,,,,494.0,
1980-02-23,,,,455.0,
1980-02-24,,,,433.0,
1980-02-25,,,,403.0,
1980-02-26,,,,375.0,
1980-02-27,,,,351.0,
1980-02-28,,,,481.0,
1980-02-29,,,,522.0,
1980-03-01,,,,441.0,
1980-03-02,,,,396.0,
1980-03-03,,,,364.0,
1980-03-04,,,,471.0,
1980-03-05,,,,543.0,
1980-03-06,,,,491.0,
1980-03-07,,,,431.0,
1980-03-08,,,,440.0,
1980-03-09,,,,430.0,
1980-03-10,,,,424.0,
1980-03-11,,,,403.0,
1980-03-12,,,,382.0,
1980-03-13,,,,374.0,
1980-03-14,,,,387.0,
1980-03-15,,,,402.0,
1980-03-16,,,,408.0,
1980-03-17,,,,386.0,
1980-03-18,,,,383.0,
1980-03-19,,,,344.0,
1980-03-20,,,,490.0,
1980-03-21,,,,767.0,
1980-03-22,,,,651.0,
1980-03-23,,,,631.0,
1980-03-24,,,,528.0,
1980-03-25,,,,729.0,
1980-03-26,,,,717.0,
1980-03-27,,,,658.0,
1980-03-28,,,,568.0,
1980-03-29,,,,479.0,
1980-03-30,,,,422.0,
1980-03-31,,,,395.0,
1980-04-01,,,,704.0,
1980-04-02,,,,766.0,
1980-04-03,,,,658.0,
1980-04-04,,,,566.0,
1980-04-05,,,,495.0,
1980-04-06,,,,460.0,
1980-04-07,,,,635.0,
1980-04-08,,,,710.0,
1980-04-09,,,,674.0,
1980-04-10,,,,594.0,
1980-04-11,,,,522.0,
1980-04-12,,,,475.0,
1980-04-13,,,,445.0,
1980-04-14,,,,419.0,
1980-04-15,,,,385.0,
1980-04-16,,,,437.0,
1980-04-17,,,,681.0,
1980-04-18,,,,594.0,
1980-04-19,,,,504.0,
1980-04-20,,,,456.0,
1980-04-21,,,,422.0,
1980-04-22,,,,435.0,
1980-04-23,,,,510.0,
1980-04-24,,,,518.0,
1980-04-25,,,,529.0,
1980-04-26,,,,481.0,
1980-04-27,,,,478.0,
1980-04-28,,,,488.0,
1980-04-29,,,,442.0,
1980-04-30,,,,411.0,
1980-05-01,,,,398.0,
1980-05-02,,,,378.0,
1980-05-03,,,,355.0,
1980-05-04,,,,372.0,
1980-05-05,,,,355.0,
1980-05-06,,,,331.0,
1980-05-07,,,,321.0,
1980-05-08,,,,319.0,
1980-05-09,,,,445.0,
1980-05-10,,,,592.0,
1980-05-11,,,,602.0,
1980-05-12,,,,623.0,
1980-05-13,,,,575.0,
1980-05-14,,,,543.0,
1980-05-15,,,,526.0,
1980-05-16,,,,492.0,
1980-05-17,,,,475.0,
1980-05-18,,,,531.0,
1980-05-19,,,,622.0,
1980-05-20,,,,665.0,
1980-05-21,,,,639.0,
1980-05-22,,,,787.0,
1980-05-23,,,,1791.0,
1980-05-24,,,,1919.0,
1980-05-25,,,,1564.0,
1980-05-26,,,,1598.0,
1980-05-27,,,,1668.0,
1980-05-28,,,,1602.0,
1980-05-29,,,,1503.0,
1980-05-30,,,,1533.0,
1980-05-31,,,,1483.0,
1980-06-01,,,,1277.0,
1980-06-02,,,,1097.0,
1980-06-03,,,,968.0,
1980-06-04,,,,873.0,
1980-06-05,,,,976.0,
1980-06-06,,,,983.0,
1980-06-07,,,,911.0,
1980-06-08,,,,914.0,
1980-06-09,,,,881.0,
1980-06-10,,,,788.0,
1980-06-11,,,,712.0,
1980-06-12,,,,652.0,
1980-06-13,,,,605.0,
1980-06-14,,,,568.0,
1980-06-15,,,,853.0,
1980-06-16,,,,1002.0,
1980-06-17,,,,1259.0,
1980-06-18,,,,1287.0,
1980-06-19,,,,1075.0,
1980-06-20,,,,945.0,
1980-06-21,,,,1046.0,
1980-06-22,,,,1136.0,
1980-06-23,,,,1429.0,
1980-06-24,,,,1334.0,
1980-06-25,,,,1150.0,
1980-06-26,,,,1017.0,
1980-06-27,,,,1009.0,
1980-06-28,,,,1096.0,
1980-06-29,,,,984.0,
1980-06-30,,,,875.0,
1980-07-01,,,,780.0,
1980-07-02,,,,705.0,
1980-07-03,,,,644.0,
1980-07-04,,,,596.0,
1980-07-05,,,,554.0,
1980-07-06,,,,521.0,
1980-07-07,,,,493.0,
1980-07-08,,,,466.0,
1980-07-09,,,,442.0,
1980-07-10,,,,419.0,
1980-07-11,,,,409.0,
1980-07-12,,,,435.0,
1980-07-13,,,,617.0,
1980-07-14,,,,557.0,
1980-07-15,,,,590.0,
1980-07-16,,,,666.0,
1980-07-17,,,,627.0,
1980-07-18,,,,690.0,
1980-07-19,,,,704.0,
1980-07-20,,,,720.0,
1980-07-21,,,,887.0,
1980-07-22,,,,960.0,
1980-07-23,,,,1104.0,
1980-07-24,,,,1195.0,
1980-07-25,,,,1046.0,
1980-07-26,,,,966.0,
1980-07-27,,,,902.0,
1980-07-28,,,,836.0,
1980-07-29,,,,758.0,
1980-07-30,,,,690.0,
1980-07-31,,,,642.0,
1980-08-01,,,,651.0,
1980-08-02,,,,651.0,
1980-08-03,,,,619.0,
1980-08-04,,,,613.0,
1980-08-05,,,,971.0,
1980-08-06,,,,1370.0,
1980-08-07,,,,1283.0,
1980-08-08,,,,1309.0,
1980-08-09,,,,1639.0,
1980-08-10,,,,1766.0,
1980-08-11,,,,1527.0,
1980-08-12,,,,1329.0,
1980-08-13,,,,1229.0,
1980-08-14,,,,1353.0,
1980-08-15,,,,1703.0,
1980-08-16,,,,1486.0,
1980-08-17,,,,1288.0,
1980-08-18,,,,1136.0,
1980-08-19,,,,1229.0,
1980-08-20,,,,1318.0,
1980-08-21,,,,1196.0,
1980-08-22,,,,1062.0,
1980-08-23,,,,964.0,
1980-08-24,,,,889.0,
1980-08-25,,,,806.0,
1980-08-26,,,,732.0,
1980-08-27,,,,671.0,
1980-08-28,,,,632.0,
1980-08-29,,,,592.0,
1980-08-30,,,,581.0,
1980-08-31,,,,605.0,
1980-09-01,,,,579.0,
1980-09-02,,,,594.0,
1980-09-03,,,,609.0,
1980-09-04,,,,555.0,
1980-09-05,,,,527.0,
1980-09-06,,,,563.0,
1980-09-07,,,,688.0,
1980-09-08,,,,668.0,
1980-09-09,,,,638.0,
1980-09-10,,,,779.0,
1980-09-11,,,,978.0,
1980-09-12,,,,947.0,
1980-09-13,,,,910.0,
1980-09-14,,,,832.0,
1980-09-15,,,,746.0,
1980-09-16,,,,674.0,
1980-09-17,,,,628.0,
1980-09-18,,,,592.0,
1980-09-19,,,,559.0,
1980-09-20,,,,525.0,
1980-09-21,,,,504.0,
1980-09-22,,,,495.0,
1980-09-23,,,,497.0,
1980-09-24,,,,515.0,
1980-09-25,,,,518.0,
1980-09-26,,,,524.0,
1980-09-27,,,,511.0,
1980-09-28,,,,504.0,
1980-09-29,,,,602.0,
1980-09-30,,,,562.0,
1980-10-01,,,,516.0,
1980-10-02,,,,474.0,
1980-10-03,,,,443.0,
1980-10-04,,,,419.0,
1980-10-05,,,,405.0,
1980-10-06,,,,399.0,
1980-10-07,,,,413.0,
1980-10-08,,,,440.0,
1980-10-09,,,,451.0,
1980-10-10,,,,490.0,
1980-10-11,,,,532.0,
1980-10-12,,,,547.0,
1980-10-13,,,,542.0,
1980-10-14,,,,517.0,
1980-10-15,,,,501.0,
1980-10-16,,,,497.0,
1980-10-17,,,,493.0,
1980-10-18,,,,487.0,
1980-10-19,,,,489.0,
1980-10-20,,,,484.0,
1980-10-21,,,,462.0,
1980-10-22,,,,432.0,
1980-10-23,,,,406.0,
1980-10-24,,,,384.0,
1980-10-25,,,,374.0,
1980-10-26,,,,372.0,
1980-10-27,,,,377.0,
1980-10-28,,,,432.0,
1980-10-29,,,,460.0,
